,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ahipara,-35.1667,173.1667,65.35,72,96,11.95,NZ,1650839488
1,Saint-Philippe,-21.3585,55.7679,72.99,79,90,14.03,RE,1650839489
2,Jamestown,42.097,-79.2353,80.24,31,0,12.66,US,1650839489
3,Rikitea,-23.1203,-134.9692,73.02,89,100,16.44,PF,1650839490
4,Udachny,66.4167,112.4,10.17,93,58,2.48,RU,1650839490
5,Zambezi,-13.5432,23.1047,64.78,77,45,4.76,ZM,1650839490
6,Aklavik,68.2191,-135.0107,32.68,97,100,5.84,CA,1650839491
7,Castro,-24.7911,-50.0119,61.52,89,1,5.39,BR,1650839491
8,Saldanha,-33.0117,17.9442,51.85,81,0,15.82,ZA,1650839491
9,Busselton,-33.65,115.3333,66.38,52,99,12.06,AU,1650839492
10,Mataura,-46.1927,168.8643,54.48,86,93,8.1,NZ,1650839492
11,Thiès,14.8342,-17.1061,77.65,50,0,23.02,SN,1650839492
12,Severo-Kuril'sk,50.6789,156.125,33.94,88,70,1.95,RU,1650839492
13,Ambilobe,-13.2,49.05,72.46,84,46,3.91,MG,1650839493
14,Ancud,-41.8697,-73.8203,46.22,77,75,21.79,CL,1650839493
15,Punta Arenas,-53.15,-70.9167,44.71,81,100,10.36,CL,1650839469
16,Andenes,69.3143,16.1194,39.18,87,75,11.5,NO,1650839494
17,Ostrovnoy,68.0531,39.5131,34.02,96,100,12.41,RU,1650839494
18,Coruripe,-10.1256,-36.1756,78.28,77,9,10.04,BR,1650839494
19,Saint George,37.1041,-113.5841,71.44,15,0,10.36,US,1650839264
20,Vaini,-21.2,-175.2,82.56,74,75,4.61,TO,1650839495
21,Broome,42.2506,-75.833,77.77,35,0,8.05,US,1650839495
22,Upernavik,72.7868,-56.1549,4.42,91,17,8.57,GL,1650839495
23,Albany,42.6001,-73.9662,69.73,36,43,1.99,US,1650838996
24,Tessalit,20.1986,1.0114,79.09,10,0,9.95,ML,1650839496
25,Antalaha,-14.9003,50.2788,72.66,87,28,6.11,MG,1650839496
26,Tasiilaq,65.6145,-37.6368,35.76,67,48,3.65,GL,1650839496
27,Yellowknife,62.456,-114.3525,36.12,51,20,16.11,CA,1650839496
28,Dunedin,-45.8742,170.5036,57.38,69,80,15.9,NZ,1650839255
29,Sandpoint,48.2766,-116.5533,65.44,37,0,8.05,US,1650839497
30,Wanning,18.8003,110.3967,79.66,90,13,11.36,CN,1650839497
31,Atuona,-9.8,-139.0333,79.39,74,15,17.69,PF,1650839497
32,Plouzané,48.3833,-4.6167,51.98,93,100,3.44,FR,1650839498
33,Bluff,-46.6,168.3333,54.81,80,91,29.64,NZ,1650839464
34,San Jose de Guanipa,8.8872,-64.1651,85.87,46,71,12.68,VE,1650839498
35,Chui,-33.6971,-53.4616,63.55,63,3,11.72,UY,1650839498
36,Ribeira Grande,38.5167,-28.7,58.93,75,15,15.55,PT,1650839499
37,Ushuaia,-54.8,-68.3,42.46,61,0,6.91,AR,1650839499
38,Sangar,63.9242,127.4739,16.39,91,80,4.32,RU,1650839499
39,Brigantine,39.4101,-74.3646,58.03,79,0,13.8,US,1650839499
40,Forsytheganj,52.6333,29.7333,48.34,83,80,7.2,BY,1650839500
41,Aitape,-3.1374,142.3475,80.28,85,88,3.94,PG,1650839500
42,Khatanga,71.9667,102.5,-5.42,100,100,5.14,RU,1650839500
43,Hobart,-42.8794,147.3294,54.27,91,100,5.75,AU,1650839402
44,Faanui,-16.4833,-151.75,81.27,69,15,5.46,PF,1650839501
45,Whitehorse,60.7161,-135.0538,49.01,50,75,6.91,CA,1650839501
46,Sligo,54.2697,-8.4694,46.69,85,22,5.19,IE,1650839380
47,Kālia,23.0396,89.6328,79.65,88,2,8.79,BD,1650839502
48,Thompson,55.7435,-97.8558,21.36,42,20,23.02,CA,1650839503
49,New Norfolk,-42.7826,147.0587,53.92,87,85,2.26,AU,1650839503
50,Yaan,7.3833,8.5667,78.49,74,96,8.34,NG,1650839504
51,Nouadhibou,20.931,-17.0347,66.18,77,0,12.66,MR,1650839504
52,Santa Clara,22.4,-79.9667,80.26,69,75,18.41,CU,1650839504
53,Dakar,14.6937,-17.4441,77.88,83,0,11.5,SN,1650839468
54,Delta del Tigre,-34.7633,-56.3853,68.41,45,0,11.5,UY,1650839505
55,São Filipe,14.8961,-24.4956,74.71,73,14,2.33,CV,1650839505
56,Farah,32.5,62.5,66.67,31,57,3.22,AF,1650839505
57,Mongo,12.1844,18.693,89.67,30,82,5.61,TD,1650839505
58,Tuktoyaktuk,69.4541,-133.0374,24.8,80,0,6.91,CA,1650839506
59,Kapaa,22.0752,-159.319,84.18,78,75,18.41,US,1650839506
60,Bengkulu,-3.8004,102.2655,75.42,89,100,4.14,ID,1650839506
61,Turukhansk,65.8167,87.9833,8.94,97,100,4.14,RU,1650839507
62,Tuatapere,-46.1333,167.6833,57.13,77,86,9.22,NZ,1650839507
63,Dolinsk,47.35,142.8,42.96,61,6,16.22,RU,1650839507
64,Bredasdorp,-34.5322,20.0403,57.61,73,78,5.55,ZA,1650839507
65,Pevek,69.7008,170.3133,10.65,92,93,2.68,RU,1650839508
66,Sikasso,10.9167,-7.0,86.32,15,27,5.01,ML,1650839508
67,Saint Paul Harbor,57.79,-152.4072,51.31,58,20,11.5,US,1650839508
68,Kruisfontein,-34.0033,24.7314,54.88,72,99,3.58,ZA,1650839509
69,Henties Bay,-22.116,14.2845,59.07,82,0,11.3,NA,1650839509
70,Kyabé,9.4515,18.9449,89.53,37,100,7.65,TD,1650839509
71,Volzhsk,55.8664,48.3594,49.37,79,99,4.41,RU,1650839509
72,Fortuna,40.5982,-124.1573,61.93,75,20,12.66,US,1650839510
73,Hermanus,-34.4187,19.2345,58.91,75,82,4.88,ZA,1650839510
74,Barrow,71.2906,-156.7887,15.82,73,0,12.66,US,1650839511
75,Nísia Floresta,-6.0911,-35.2086,79.18,89,74,7.38,BR,1650839512
76,Beckley,37.7782,-81.1882,87.69,29,0,10.36,US,1650839512
77,Port Alfred,-33.5906,26.891,58.17,85,98,5.99,ZA,1650839512
78,Buin,-33.7333,-70.75,68.32,82,92,3.98,CL,1650839512
79,Estelle,29.8458,-90.1067,84.0,69,75,11.5,US,1650839513
80,Ouésso,1.6136,16.0517,73.87,82,97,0.36,CG,1650839513
81,Laguna,38.421,-121.4238,82.49,22,0,9.22,US,1650839444
82,Chilliwack,49.1747,-121.9443,69.37,38,61,3.44,CA,1650839415
83,Llano Largo,7.9,-80.4333,77.47,72,62,3.11,PA,1650839513
84,Yulara,-25.2406,130.9889,62.44,77,100,10.36,AU,1650839514
85,Harper,4.375,-7.7169,80.82,86,100,6.73,LR,1650839514
86,Myanaung,18.2833,95.3167,83.71,72,10,3.98,MM,1650839514
87,Provideniya,64.3833,-173.3,32.36,64,0,4.47,RU,1650839515
88,Airai,-8.9266,125.4092,63.46,58,64,1.36,TL,1650839515
89,Batagay-Alyta,67.8006,130.4114,11.14,90,100,2.51,RU,1650839515
90,Carutapera,-1.195,-46.02,75.33,92,51,5.21,BR,1650839516
